study_accession	study_title	experiment_accession	experiment_title	experiment_desc	organism_taxid	organism_name	library_name	library_strategy	library_source	library_selection	library_layout	sample_accession	sample_title	biosample	bioproject	instrument	instrument_model	instrument_model_desc	total_spots	total_size	run_accession	run_total_spots	run_total_bases
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952751	RA1779_Spleen	RA1779_Spleen	9544	Macaca mulatta	GSM7063946_A0071_S116_L002	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791989		SAMN33440474	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	26054972	2547264096	SRR38105880	26054972	7842546572
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952750	RA0223_Skin-Non-Rash	RA0223_Skin-Non-Rash	9544	Macaca mulatta	GSM7063945_A0070_S43_L001	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791986		SAMN33440475	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	17718879	1889807528	SRR38105881	17718879	5333382579
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952749	RA0223_Skin-Rash	RA0223_Skin-Rash	9544	Macaca mulatta	GSM7063944_A0069_S44_L001	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791987		SAMN33440476	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	13863794	1459739886	SRR38105882	13863794	4173001994
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952748	RA0223_LN-MES	RA0223_LN-MES	9544	Macaca mulatta	GSM7063943_A0066_S174_L002	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791985		SAMN33440477	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	20235492	1946927067	SRR38105883	20235492	6090883092
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952747	RA0223_LN-ING-L	RA0223_LN-ING-L	9544	Macaca mulatta	GSM7063942_A0065_S175_L002	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791982		SAMN33440478	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	25493490	2500052577	SRR38105884	25493490	7673540490
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952746	RA0223_LN-AX-R	RA0223_LN-AX-R	9544	Macaca mulatta	GSM7063941_A0064_S176_L002	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791983		SAMN33440479	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	32720992	3194590118	SRR38105885	32720992	9849018592
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952745	RA0223_Ovary	RA0223_Ovary	9544	Macaca mulatta	GSM7063940_A0063_S9_L001	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791981		SAMN33440480	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	49056853	5137716147	SRR38105886	49056853	14766112753
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952744	RA0223_Brain-Gr	RA0223_Brain-Gr	9544	Macaca mulatta	GSM7063939_A0062_S84_L002	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791980		SAMN33440481	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	19065497	2200250243	SRR38105887	19065497	5738714597
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952743	RA1803_Ovary	RA1803_Ovary	9544	Macaca mulatta	GSM7063903_A0007_S17_L001	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791998		SAMN33440517	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	43847664	4575352393	SRR38105888	43847664	13198146864
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952742	RA0223_Kidney	RA0223_Kidney	9544	Macaca mulatta	GSM7063938_A0058_S120_L002	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791979		SAMN33440482	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	21281836	2487586871	SRR38105889	21281836	6405832636
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952644	RA0223_Spleen	RA0223_Spleen	9544	Macaca mulatta	GSM7063937_A0057_S117_L002	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791886		SAMN33440483	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	22603689	2226501724	SRR38105890	22603689	6803710389
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952740	RA0717_PBMC-D4	RA0717_PBMC-D4	9544	Macaca mulatta	GSM7064190_RA0717_PBMC_D004_S9_L003	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791977		SAMN33440230	PRJNA938511	NextSeq 550	NextSeq 550	ILLUMINA	6757864	817326357	SRR38105891	6757864	2020601336
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952739	RA0717_PBMC-D4	RA0717_PBMC-D4	9544	Macaca mulatta	GSM7064190_RA0717_PBMC_D004_S9_L002	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791977		SAMN33440230	PRJNA938511	NextSeq 550	NextSeq 550	ILLUMINA	6681267	810078921	SRR38105892	6681267	1997698833
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952738	RA0717_PBMC-D4	RA0717_PBMC-D4	9544	Macaca mulatta	GSM7064190_RA0717_PBMC_D004_S9_L001	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791977		SAMN33440230	PRJNA938511	NextSeq 550	NextSeq 550	ILLUMINA	6809311	819057758	SRR38105893	6809311	2035983989
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952737	RA0452_PBMC-D5	RA0452_PBMC-D5	9544	Macaca mulatta	GSM7064189_RA0452_PBMC_D005_S10_L004	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791976		SAMN33440231	PRJNA938511	NextSeq 550	NextSeq 550	ILLUMINA	8211254	994645221	SRR38105894	8211254	2455164946
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952736	RA0452_PBMC-D5	RA0452_PBMC-D5	9544	Macaca mulatta	GSM7064189_RA0452_PBMC_D005_S10_L003	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791976		SAMN33440231	PRJNA938511	NextSeq 550	NextSeq 550	ILLUMINA	8331062	999367510	SRR38105895	8331062	2490987538
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952735	RA0452_PBMC-D5	RA0452_PBMC-D5	9544	Macaca mulatta	GSM7064189_RA0452_PBMC_D005_S10_L002	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791976		SAMN33440231	PRJNA938511	NextSeq 550	NextSeq 550	ILLUMINA	8214142	986700771	SRR38105896	8214142	2456028458
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952734	RA0452_PBMC-D5	RA0452_PBMC-D5	9544	Macaca mulatta	GSM7064189_RA0452_PBMC_D005_S10_L001	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791976		SAMN33440231	PRJNA938511	NextSeq 550	NextSeq 550	ILLUMINA	8377512	998297251	SRR38105897	8377512	2504876088
