sample	status	mode	message	count_tsv
SRR38105601	SUCCESS	PAIRED	Completed successfully	/fs/scratch/PWSU0516/siva/ebola_class_project/count_tsv/SRR38105601.counts.tsv
SRR38105605	SUCCESS	PAIRED	Completed successfully	/fs/scratch/PWSU0516/siva/ebola_class_project/count_tsv/SRR38105605.counts.tsv
SRR38105602	SUCCESS	PAIRED	Completed successfully	/fs/scratch/PWSU0516/siva/ebola_class_project/count_tsv/SRR38105602.counts.tsv
SRR38105603	SUCCESS	PAIRED	Completed successfully	/fs/scratch/PWSU0516/siva/ebola_class_project/count_tsv/SRR38105603.counts.tsv
SRR38105604	SUCCESS	PAIRED	Completed successfully	/fs/scratch/PWSU0516/siva/ebola_class_project/count_tsv/SRR38105604.counts.tsv
SRR38105606	SUCCESS	PAIRED	Completed successfully	/fs/scratch/PWSU0516/siva/ebola_class_project/count_tsv/SRR38105606.counts.tsv
SRR38105607	SUCCESS	PAIRED	Completed successfully	/fs/scratch/PWSU0516/siva/ebola_class_project/count_tsv/SRR38105607.counts.tsv
SRR38105610	SUCCESS	PAIRED	Completed successfully	/fs/scratch/PWSU0516/siva/ebola_class_project/count_tsv/SRR38105610.counts.tsv
SRR38105612	SUCCESS	PAIRED	Completed successfully	/fs/scratch/PWSU0516/siva/ebola_class_project/count_tsv/SRR38105612.counts.tsv
SRR38105611	SUCCESS	PAIRED	Completed successfully	/fs/scratch/PWSU0516/siva/ebola_class_project/count_tsv/SRR38105611.counts.tsv
SRR38105613	SUCCESS	PAIRED	Completed successfully	/fs/scratch/PWSU0516/siva/ebola_class_project/count_tsv/SRR38105613.counts.tsv
SRR38105614	SUCCESS	PAIRED	Completed successfully	/fs/scratch/PWSU0516/siva/ebola_class_project/count_tsv/SRR38105614.counts.tsv
SRR38105609	SUCCESS	PAIRED	Completed successfully	/fs/scratch/PWSU0516/siva/ebola_class_project/count_tsv/SRR38105609.counts.tsv
SRR38105616	SUCCESS	PAIRED	Completed successfully	/fs/scratch/PWSU0516/siva/ebola_class_project/count_tsv/SRR38105616.counts.tsv
SRR38105615	SUCCESS	PAIRED	Completed successfully	/fs/scratch/PWSU0516/siva/ebola_class_project/count_tsv/SRR38105615.counts.tsv
SRR38105619	SUCCESS	PAIRED	Completed successfully	/fs/scratch/PWSU0516/siva/ebola_class_project/count_tsv/SRR38105619.counts.tsv
SRR38105617	SUCCESS	PAIRED	Completed successfully	/fs/scratch/PWSU0516/siva/ebola_class_project/count_tsv/SRR38105617.counts.tsv
SRR38105621	SUCCESS	PAIRED	Completed successfully	/fs/scratch/PWSU0516/siva/ebola_class_project/count_tsv/SRR38105621.counts.tsv
SRR38105618	SUCCESS	PAIRED	Completed successfully	/fs/scratch/PWSU0516/siva/ebola_class_project/count_tsv/SRR38105618.counts.tsv
SRR38105620	SUCCESS	PAIRED	Completed successfully	/fs/scratch/PWSU0516/siva/ebola_class_project/count_tsv/SRR38105620.counts.tsv
SRR38105608	SUCCESS	PAIRED	Completed successfully	/fs/scratch/PWSU0516/siva/ebola_class_project/count_tsv/SRR38105608.counts.tsv
SRR38105623	SUCCESS	PAIRED	Completed successfully	/fs/scratch/PWSU0516/siva/ebola_class_project/count_tsv/SRR38105623.counts.tsv
SRR38105625	SUCCESS	PAIRED	Completed successfully	/fs/scratch/PWSU0516/siva/ebola_class_project/count_tsv/SRR38105625.counts.tsv
SRR38105624	SUCCESS	PAIRED	Completed successfully	/fs/scratch/PWSU0516/siva/ebola_class_project/count_tsv/SRR38105624.counts.tsv
SRR38105626	SUCCESS	PAIRED	Completed successfully	/fs/scratch/PWSU0516/siva/ebola_class_project/count_tsv/SRR38105626.counts.tsv
