ENSMMUG00000054857	1
ENSMMUG00000010764	8
ENSMMUG00000055798	0
ENSMMUG00000036441	0
ENSMMUG00000064729	0
ENSMMUG00000057296	0
ENSMMUG00000011733	15
ENSMMUG00000023624	0
ENSMMUG00000015922	108
ENSMMUG00000001264	1205
ENSMMUG00000063702	0
ENSMMUG00000054613	0
ENSMMUG00000008992	75
ENSMMUG00000016215	35
ENSMMUG00000042618	0
ENSMMUG00000011711	9
ENSMMUG00000017740	36
ENSMMUG00000019806	96
ENSMMUG00000011735	0
ENSMMUG00000002492	2
ENSMMUG00000016214	1
ENSMMUG00000037367	0
ENSMMUG00000055038	0
ENSMMUG00000054634	0
ENSMMUG00000044175	13
ENSMMUG00000051719	0
ENSMMUG00000027973	0
ENSMMUG00000052260	0
ENSMMUG00000059561	0
ENSMMUG00000054650	20
ENSMMUG00000058472	0
ENSMMUG00000058332	18
ENSMMUG00000043588	0
ENSMMUG00000064604	0
ENSMMUG00000056940	0
ENSMMUG00000062759	0
ENSMMUG00000062448	0
ENSMMUG00000063749	7
ENSMMUG00000050859	1
ENSMMUG00000055266	0
ENSMMUG00000041482	2
ENSMMUG00000012479	311
ENSMMUG00000061742	2
ENSMMUG00000051816	0
ENSMMUG00000063085	1
ENSMMUG00000005635	45
ENSMMUG00000017104	37
ENSMMUG00000001966	0
ENSMMUG00000013602	0
ENSMMUG00000032231	103
ENSMMUG00000053960	0
ENSMMUG00000016812	7
ENSMMUG00000049843	0
ENSMMUG00000062996	9
ENSMMUG00000004265	3
ENSMMUG00000049286	1
ENSMMUG00000003581	9
ENSMMUG00000053735	3
ENSMMUG00000023382	0
ENSMMUG00000017103	48
ENSMMUG00000058094	23
ENSMMUG00000005210	0
ENSMMUG00000056808	0
ENSMMUG00000056341	1372
ENSMMUG00000013596	6
ENSMMUG00000050804	0
ENSMMUG00000053498	1
ENSMMUG00000035346	0
ENSMMUG00000000352	6
ENSMMUG00000052516	0
ENSMMUG00000058456	0
ENSMMUG00000001967	0
ENSMMUG00000053723	0
ENSMMUG00000003579	3
ENSMMUG00000017101	2800
ENSMMUG00000053323	74
ENSMMUG00000015081	25
ENSMMUG00000061598	2
ENSMMUG00000060345	1
ENSMMUG00000009951	6
ENSMMUG00000009040	11
ENSMMUG00000040888	20
ENSMMUG00000052779	0
ENSMMUG00000056511	0
ENSMMUG00000065322	79
ENSMMUG00000045421	81
ENSMMUG00000060445	2
ENSMMUG00000023145	12
ENSMMUG00000009948	98
ENSMMUG00000059472	31
ENSMMUG00000059665	239
ENSMMUG00000008761	0
ENSMMUG00000061947	8
ENSMMUG00000053610	0
ENSMMUG00000015084	3
ENSMMUG00000063539	0
ENSMMUG00000058486	35
ENSMMUG00000053934	22
ENSMMUG00000064774	278
ENSMMUG00000055760	3
ENSMMUG00000063807	1
ENSMMUG00000021386	15
ENSMMUG00000020756	8
ENSMMUG00000016808	2
ENSMMUG00000040694	4
ENSMMUG00000043675	3
ENSMMUG00000006894	29
ENSMMUG00000013561	48
ENSMMUG00000008763	128
ENSMMUG00000063725	10
ENSMMUG00000007129	16
ENSMMUG00000019536	47
ENSMMUG00000003309	24
ENSMMUG00000043775	0
ENSMMUG00000016786	196
ENSMMUG00000062596	158
ENSMMUG00000053652	0
ENSMMUG00000058256	0
ENSMMUG00000005736	16
ENSMMUG00000039340	0
ENSMMUG00000055285	0
ENSMMUG00000065199	0
ENSMMUG00000020754	10
ENSMMUG00000001479	0
ENSMMUG00000019793	0
ENSMMUG00000052469	0
ENSMMUG00000000476	0
ENSMMUG00000023200	5
ENSMMUG00000051332	0
ENSMMUG00000036946	0
ENSMMUG00000006892	2
ENSMMUG00000014970	90
ENSMMUG00000061825	1
ENSMMUG00000005669	15
ENSMMUG00000040115	5
ENSMMUG00000043124	1
ENSMMUG00000045495	0
ENSMMUG00000037178	0
ENSMMUG00000006119	153
ENSMMUG00000005668	2
ENSMMUG00000025420	2
ENSMMUG00000051071	13
ENSMMUG00000051142	0
ENSMMUG00000057445	1
ENSMMUG00000018618	5
ENSMMUG00000050205	6
ENSMMUG00000008453	223
ENSMMUG00000005073	2
ENSMMUG00000005735	0
ENSMMUG00000061293	326
ENSMMUG00000053581	1
ENSMMUG00000026958	2
ENSMMUG00000023199	7
ENSMMUG00000026847	0
ENSMMUG00000011914	2
ENSMMUG00000051009	27
ENSMMUG00000057466	716
ENSMMUG00000008552	0
ENSMMUG00000009024	36
ENSMMUG00000025705	1
ENSMMUG00000008857	49
ENSMMUG00000005667	4
ENSMMUG00000006697	283
ENSMMUG00000061360	0
ENSMMUG00000005072	10
ENSMMUG00000026870	0
ENSMMUG00000002454	19
ENSMMUG00000017718	277
ENSMMUG00000001481	0
ENSMMUG00000054974	5
ENSMMUG00000015133	5
ENSMMUG00000032681	0
ENSMMUG00000026648	0
ENSMMUG00000021577	329
ENSMMUG00000028449	0
ENSMMUG00000057010	24
ENSMMUG00000018014	24
ENSMMUG00000015631	7
ENSMMUG00000039139	14
ENSMMUG00000054776	1
ENSMMUG00000046184	4
ENSMMUG00000002455	57
ENSMMUG00000021575	0
ENSMMUG00000012221	6
ENSMMUG00000060685	0
ENSMMUG00000057015	0
ENSMMUG00000061582	0
ENSMMUG00000056473	10
ENSMMUG00000015632	9
ENSMMUG00000012477	3
ENSMMUG00000058111	0
ENSMMUG00000059358	28
ENSMMUG00000050315	1
ENSMMUG00000010729	0
ENSMMUG00000028051	0
ENSMMUG00000061414	21
ENSMMUG00000040207	0
ENSMMUG00000006891	1
ENSMMUG00000054758	2
ENSMMUG00000056255	0
ENSMMUG00000005070	3
ENSMMUG00000049415	2
ENSMMUG00000050602	19
ENSMMUG00000057342	0
ENSMMUG00000023277	75
ENSMMUG00000011156	1
ENSMMUG00000049315	0
ENSMMUG00000004563	49
ENSMMUG00000009234	1
ENSMMUG00000064473	1
ENSMMUG00000015066	50
ENSMMUG00000023144	18
ENSMMUG00000015634	8
ENSMMUG00000050628	5
ENSMMUG00000020398	0
ENSMMUG00000049470	26
ENSMMUG00000054679	0
ENSMMUG00000033058	0
ENSMMUG00000022009	6
ENSMMUG00000056871	0
ENSMMUG00000005836	14
ENSMMUG00000064824	1
ENSMMUG00000032217	27
ENSMMUG00000015580	142
ENSMMUG00000021574	2
ENSMMUG00000031497	2
ENSMMUG00000035358	1
ENSMMUG00000031435	5
ENSMMUG00000043005	8
ENSMMUG00000023275	12
ENSMMUG00000049853	0
ENSMMUG00000051230	0
ENSMMUG00000065039	1
ENSMMUG00000057845	7
ENSMMUG00000062651	25
ENSMMUG00000006688	153
ENSMMUG00000051883	1
ENSMMUG00000057560	0
ENSMMUG00000062883	0
ENSMMUG00000043951	0
ENSMMUG00000052612	0
ENSMMUG00000065223	3
ENSMMUG00000059650	1
ENSMMUG00000054334	4
ENSMMUG00000032084	6
ENSMMUG00000005371	5
ENSMMUG00000013839	40
ENSMMUG00000041183	95
ENSMMUG00000003887	1
ENSMMUG00000019154	23
ENSMMUG00000018458	124
ENSMMUG00000005372	8
ENSMMUG00000002970	19
ENSMMUG00000016931	0
ENSMMUG00000026504	0
ENSMMUG00000052967	1
ENSMMUG00000046192	0
ENSMMUG00000024249	0
